Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,,,,,,
7683,WASHER RT22120/A4,T7T8.STAT.C.1.1,S,1000,T7T8.STAT,,,,,,,
1000587R0002,F.KIT PR331/332/333 T7-T8(AB),T7T8.STAT.B.1.1,M,50,T7T8.STAT,,,,,,,
1000593R0001,GETTING STARTED PR332/3 (AB)(Manual A4),T7T8.STAT.B.1.2,M,50,T7T8.STAT,,,,,,,
1000682R0002,ISTRUZ.INSTALLAZ. T8(AB),T7T8.STAT.B.1.3,M,50,T7T8.STAT,,,,,,,
162734001,WARNING LABEL,T7T8.STAT.C.1.2,S,1000,T7T8.STAT,,,,,,,
164771806,GR. SOR-SCR 120-127V(IEC) 125-127UL,T7T8.STAT.C.1.3,S,5,T7T8.STAT,,,,,,,
164769803,GEARED MOTOR APPL. 100-130V AC/DC,T7T8.STAT.A.1.1,L,10,T7T8.STAT,,,,,,,
164770801,RELEASE SUPPORT,T7T8.STAT.A.1.2,L,45,T7T8.STAT,,,,,,,
164771801,GR. SOR-SCR 24V DC,T7T8.STAT.B.1.4,M,20,T7T8.STAT,,,,,,,
164771805,YO - YC  110-120 V EMAX ASSEMBLY,T7T8.STAT.B.2.1,M,20,T7T8.STAT,,,,,,,
164771811,GR. SCR 24 V DC,T7T8.STAT.C.1.4,S,5,T7T8.STAT,,,,,,,
164771815,YU 110-120 V EMAX ASSEMBLY,T7T8.STAT.C.1.5,S,5,T7T8.STAT,,,,,,,
165591801,ASS. PADLOCK DEVICE IN OPEN POSITION,T7T8.STAT.C.1.6,S,15,T7T8.STAT,,,,,,,
165591804,GROUP PADLOCK DEVICE IN OPEN 7MM,T7T8.STAT.C.2.1,S,20,T7T8.STAT,,,,,,,
1SDH000593R0001,GETTING STARTED PR332/3,T7T8.STAT.C.2.2,S,60,T7T8.STAT,,,,,,,
23934,VITE AUTOF ACC RT21581/4X20,T7T8.STAT.C.2.3,S,1000,T7T8.STAT,,,,,,,
