Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,ExternalKanbanId
7683,WASHER RT22120/A4,T7T8.STAT.C.1.1,S,1000,T7T8.STAT,,37792
7683,WASHER RT22120/A4,T7T8.STAT.C.1.1,S,1000,T7T8.STAT,,37793
1000587R0002,F.KIT PR331/332/333 T7-T8(AB),T7T8.STAT.B.1.1,M,50,T7T8.STAT,,37794
1000587R0002,F.KIT PR331/332/333 T7-T8(AB),T7T8.STAT.B.1.1,M,50,T7T8.STAT,,37795
1000593R0001,GETTING STARTED PR332/3 (AB)(Manual A4),T7T8.STAT.B.1.2,M,50,T7T8.STAT,,37797
1000593R0001,GETTING STARTED PR332/3 (AB)(Manual A4),T7T8.STAT.B.1.2,M,50,T7T8.STAT,,37798
1000682R0002,ISTRUZ.INSTALLAZ. T8(AB),T7T8.STAT.B.1.3,M,50,T7T8.STAT,,37799
1000682R0002,ISTRUZ.INSTALLAZ. T8(AB),T7T8.STAT.B.1.3,M,50,T7T8.STAT,,37800
162734001,WARNING LABEL,T7T8.STAT.C.1.2,S,1000,T7T8.STAT,,37802
162734001,WARNING LABEL,T7T8.STAT.C.1.2,S,1000,T7T8.STAT,,37803
164769801,GEARED MOTOR APPLICATION 24-30V AC/DC,T7T8.STAT.C.3.2,M,10,T7T8.STAT,,37842
164769801,GEARED MOTOR APPLICATION 24-30V AC/DC,T7T8.STAT.C.3.2,M,10,T7T8.STAT,,37843
164769803,GEARED MOTOR APPL. 100-130V AC/DC,T7T8.STAT.A.1.1,L,10,T7T8.STAT,,37807
164769803,GEARED MOTOR APPL. 100-130V AC/DC,T7T8.STAT.A.1.1,L,10,T7T8.STAT,,37808
164770801,RELEASE SUPPORT,T7T8.STAT.A.1.2,L,45,T7T8.STAT,,37809
164770801,RELEASE SUPPORT,T7T8.STAT.A.1.2,L,45,T7T8.STAT,,37810
164771801,GR. SOR-SCR 24V DC,T7T8.STAT.B.1.4,M,20,T7T8.STAT,,37812
164771801,GR. SOR-SCR 24V DC,T7T8.STAT.B.1.4,M,20,T7T8.STAT,,37813
164771805,YO - YC  110-120 V EMAX ASSEMBLY,T7T8.STAT.B.2.1,M,20,T7T8.STAT,,37814
164771805,YO - YC  110-120 V EMAX ASSEMBLY,T7T8.STAT.B.2.1,M,20,T7T8.STAT,,37815
164771806,GR. SOR-SCR 120-127V(IEC) 125-127UL,T7T8.STAT.C.1.3,S,5,T7T8.STAT,,37804
164771806,GR. SOR-SCR 120-127V(IEC) 125-127UL,T7T8.STAT.C.1.3,S,5,T7T8.STAT,,37805
164771811,GR. SCR 24 V DC,T7T8.STAT.C.1.4,S,5,T7T8.STAT,,37817
164771811,GR. SCR 24 V DC,T7T8.STAT.C.1.4,S,5,T7T8.STAT,,37818
164771815,YU 110-120 V EMAX ASSEMBLY,T7T8.STAT.C.1.5,S,5,T7T8.STAT,,37819
164771815,YU 110-120 V EMAX ASSEMBLY,T7T8.STAT.C.1.5,S,5,T7T8.STAT,,37820
164803001,ACCES.LABEL E1/E6,T7T8.STAT.E.2.3,S,500,T7T8.STAT,,37957
164803001,ACCES.LABEL E1/E6,T7T8.STAT.E.2.3,S,500,T7T8.STAT,,37958
165591801,ASS. PADLOCK DEVICE IN OPEN POSITION,T7T8.STAT.C.1.6,S,15,T7T8.STAT,,37822
165591801,ASS. PADLOCK DEVICE IN OPEN POSITION,T7T8.STAT.C.1.6,S,15,T7T8.STAT,,37823
